Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
System Information,None,False,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe,C:\Windows\System32\msinfo32.exe,msinfo32.exe
Talon,None,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Talon\talon.exe,C:\Program Files\Talon\talon.exe,talon.exe
Task Manager,None,False,Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8},C:\Windows\System32\Taskmgr.exe,Taskmgr.exe
TechSmith Capture,None,False,com.squirrel.RelayRecorder.RelayRecorder,C:\Users\knaus\AppData\Local\RelayRecorder\RelayRecorder.exe,RelayRecorder.exe
TechSmith Capture,None,False,com.squirrel.RelayRecorder.RelayRecorder,C:\Users\knaus\AppData\Local\RelayRecorder\RelayRecorder.exe,RelayRecorder.exe
Terminal,None,False,Microsoft.WindowsTerminal_8wekyb3d8bbwe!App,None,None
This PC,None,False,Microsoft.Windows.Computer,None,None
Tips,None,False,Microsoft.Getstarted_8wekyb3d8bbwe!App,None,None
Tobii Eye Tracking,None,False,Tobii,C:\Program Files (x86)\Tobii\Tobii EyeX Interaction\Tobii.EyeX.Tray.exe,Tobii.EyeX.Tray.exe
Ubuntu on Windows,None,False,CanonicalGroupLimited.UbuntuonWindows_79rhkp1fndgsc!ubuntuonwindows,None,None
UserInsight Reports,None,False,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\RSIGuard\UserInsight.exe,C:\Program Files (x86)\RSIGuard\UserInsight.exe,UserInsight.exe
Video Settings,None,False,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GOG Galaxy\Games\Star Trek - Starfleet Command\config.exe,C:\Program Files (x86)\GOG Galaxy\Games\Star Trek - Starfleet Command\config.exe,config.exe
Visual Studio 2022,None,False,VisualStudio.924b20f2,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe,devenv.exe
Visual Studio Code,None,False,Microsoft.VisualStudioCode,C:\Users\knaus\AppData\Local\Programs\Microsoft VS Code\Code.exe,Code.exe
